SPECIALTY ID,SPEC Name,SEC Name,SECTION ID
00000165-c57c-db51-adfd-ef7f6bbe0000,Nurse Anesthetist,Nurse Anesthetist,00000165-b0cc-de08-a3ed-b4ee5d800000
00000165-c57c-db51-adfd-ef7f6bfb0000,Nurse Attorney,Nurse Attorney,00000165-aaee-dc72-abff-eeefb4030000
00000165-c57c-db51-adfd-ef7f6bd20000,Nurse Educator,Nurse Educator,00000165-a549-d4f5-ad77-e7fd80a40000
00000165-c57c-db51-adfd-ef7f6c780000,Nurse Entrepreneur,Nurse Entrepreneur,00000165-a56f-d7b1-a567-bfff074f0000
00000165-c57c-db51-adfd-ef7f6c7b0000,Nurse Executive,Nurse Executive,00000165-a578-d4f5-ad77-e7fc145b0000
00000165-c57c-db51-adfd-ef7f6c730000,Nurse Life Care Planner,Nurse Life Care Planner,00000165-a585-d7b1-a567-bff569600000
00000165-c57c-db51-adfd-ef7f6c7d0000,Nurse Manager,Nurse Manager,00000165-a595-d7b1-a567-bff56f120000
00000165-c57c-db51-adfd-ef7f6bc10000,Nurse Practitioner,Nurse Practitioner,00000165-218f-d7a8-a96d-b3bf8f800000
00000165-c57c-db51-adfd-ef7f6c5d0000,Nursing Quality Improvement,Nursing Quality Improvement,00000165-a5b2-d4f5-ad77-e7be7b850000
00000165-c57c-db51-adfd-ef7f6c000000,"Nursing Writer, Author, or Historian","Nurse Writer, Author or Historian",00000165-a5b8-d4f5-ad77-e7bc93090000
00000165-c57c-db51-adfd-ef7f6bd80000,"Obstetrics Nurse, Gynecology Nurse","Obstetrics Nurse, Gynecology",00000165-a5cb-d7b1-a567-bffbb5640000
00000165-c57c-db51-adfd-ef7f6c020000,Occupational Health Nurse,Occupational Health Nurse,00000165-a5c0-d7b1-a567-bff08d0c0000
00000165-c57c-db51-adfd-ef7f6c050000,Oncology Nurse,Oncology Nurse,00000165-a5ca-d4f5-ad77-e7fe90e80000
00000165-c57c-db51-adfd-ef7f6c070000,Ophthalmic Nurse,Ophthalmic Nurse,00000165-aaeb-d00a-ab77-aeefec270000
00000165-c57c-db51-adfd-ef7f6c0a0000,Orthopaedic Nurse,Orthopaedic Nurse,00000165-ab02-d00a-ab77-af2624e30000
00000165-c57c-db51-adfd-ef7f6c450000,Otorhinolaryngology Nurse,Otorhinolaryngology Nurse,00000165-ab3c-d91d-a575-bf7ebc5e0000
00000165-c57c-db51-adfd-ef7f6bc30000,Pain Management Nurse,Pain Management Nurse,00000165-ab21-d00a-ab77-af25dbfe0000
00000165-c57c-db51-adfd-ef7f6c0c0000,Parish Nurse,Parish Nurse,00000165-ab40-d3ca-a5ff-ab6510e00000
00000165-c57c-db51-adfd-ef7f6cbd0000,Patient Blood Management Nurse,Patient Blood Management Nurse,00000165-ab4a-d3ca-a5ff-ab6f6dbe0000
00000165-c57c-db51-adfd-ef7f6c820000,Pediatric Endocrinology Nurse,Pediatric Endocrinology Nurse,00000165-ab56-d91d-a575-bf56039d0000
00000165-c57c-db51-adfd-ef7f6bda0000,Pediatric Nurse,Pediatric Nurse,00000165-b104-de08-a3ed-b5668e110000
00000165-c57c-db51-adfd-ef7f6c0f0000,Pediatric Nurse Practitioner,Pediatric Nurse Practitioner,00000165-ac1a-d4a1-a1ff-eefb44450000
00000165-c57c-db51-adfd-ef7f6c110000,Perianesthesia Nurse,Perianesthesia Nurse,00000165-b0d2-d284-a5e7-fef277780000
00000165-c57c-db51-adfd-ef7f6c930000,Perinatal Nurse,Perinatal Nurse,00000165-a694-dcdb-af6f-affed4000000
00000165-c57c-db51-adfd-ef7f6bd50000,Perioperative (Surgical Nurse,Perioperative (Surgical Nurse,00000165-a628-dcdb-af6f-affa7dc40000
00000165-c57c-db51-adfd-ef7f6c480000,Plastic Surgery Nurse,Plastic Surgery Nurse,00000165-a6a0-dcdb-af6f-affad6ce0000
00000165-c57c-db51-adfd-ef7f6c670000,Poison Information Specialist,Poison Information Specialist,00000165-a6b1-dcdb-af6f-affbd3e20000
00000165-c57c-db51-adfd-ef7f6c140000,Psychiatric Nurse,Psychiatric Nurse,00000165-a6bb-d440-ab75-bfbb2cc00000
00000165-c57c-db51-adfd-ef7f6c6e0000,Psychiatric Nurse Practitioner,Psychiatric Nurse Practitioner,00000165-ab0d-dc72-abff-efad3cc40000
00000165-c57c-db51-adfd-ef7f6c160000,Public Health Nurse,Public Health Nurse,00000165-abe2-d4a1-a1ff-effbdfe30000
00000165-c57c-db51-adfd-ef7f6c4b0000,Pulmonary Care Nurse,Pulmonary Care Nurse,00000165-abef-d4a1-a1ff-efff98060000
00000165-c57c-db51-adfd-ef7f6c4d0000,Radiology Nurse,Radiology Nurse,00000165-abfa-dfff-a5ef-bffb41820000
00000165-c57c-db51-adfd-ef7f6c190000,Rehabilitation Nurse,Rehabilitation Nurse,00000165-abf7-dfff-a5ef-bfff22e00000
00000165-c57c-db51-adfd-ef7f6c960000,Reproductive Nurse,Reproductive Nurse,00000165-ac03-d4a1-a1ff-eefb94be0000
00000165-c57c-db51-adfd-ef7f6c510000,Rheumatology Nurse,Rheumatology Nurse,00000165-ac1d-d4a1-a1ff-eefff23b0000
